2026-07-01 10:05:56 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:09 INFO  [MetadataApp] P2 Metadata démarré — broker=localhost:5672 | en attente sur 'queue.new-files'
2026-07-01 10:13:10 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:10 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:10 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:10 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:10 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:10 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:10 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:10 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:10 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:10 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:10 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:10 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:10 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:11 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:12 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:13 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:14 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:14 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:14 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:14 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:14 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:14 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:22 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:22 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:13:22 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:13:32 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:42 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:13:52 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:14:02 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:14:12 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:14:22 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:14:32 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:14:42 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:14:52 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:15:02 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:15:02 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:15:02 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:15:12 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:15:12 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:15:12 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:15:22 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:15:22 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:15:22 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:15:32 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:15:32 INFO  [MetadataApp] Métadonnées extraites : Antanambao.MP3 — titre='Antanambao', artiste='Bekoto Augustin', genre='Folk', durée=175s
2026-07-01 10:15:32 INFO  [MetadataApp] Métadonnées extraites : IAO.MP3 — titre='IAO', artiste='ROSSY', genre='salegy', durée=229s
2026-07-01 10:15:42 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:15:52 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:16:02 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:16:12 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:16:22 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:16:32 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:16:42 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:16:52 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:17:02 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:17:12 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:17:22 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:17:32 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:17:42 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:17:52 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:18:02 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:18:12 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:18:22 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:18:32 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:18:42 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:18:52 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:19:02 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:19:12 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:19:22 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:19:32 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:19:42 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:19:52 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:20:02 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:20:12 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:20:22 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:20:32 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:20:42 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:20:52 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:21:02 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:21:12 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:21:22 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:21:32 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:21:42 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
2026-07-01 10:21:52 INFO  [MetadataApp] Métadonnées extraites : Ankino.mp3 — titre='Ankino', artiste='Bodo', genre='Pop', durée=231s
